# ADC noise capture
# date: 2026-08-10 20:40:38
# port: COM3, baud: 115200
# source: A0 trimmer potentiometer on the 511/512 code boundary
# requested samples: 1000, received: 1000, bad lines: 0
# duration_s: 1.274, effective_rate_sps: 784.3, mean_interval_us: 1275.0
# note: example capture, padded 15-char format, same operating point as the main run
sample_index,t_us,raw
0,469164,511
1,470440,512
2,471716,512
3,472992,512
4,474264,512
5,475540,512
6,476816,512
7,478092,512
8,479364,512
9,480640,512
10,481916,511
11,483192,512
12,484464,512
13,485740,512
14,487016,512
15,488292,511
16,489564,512
17,490840,512
18,492116,512
19,493392,512
20,494664,512
21,495940,512
22,497216,512
23,498492,512
24,499764,512
25,501040,512
26,502316,512
27,503592,512
28,504864,512
29,506140,512
30,507416,512
31,508692,512
32,509972,512
33,511240,512
34,512516,512
35,513792,511
36,515064,512
37,516340,512
38,517616,512
39,518892,512
40,520164,512
41,521440,512
42,522716,512
43,523992,512
44,525264,512
45,526540,512
46,527816,512
47,529092,512
48,530364,512
49,531640,512
50,532916,512
51,534192,512
52,535464,512
53,536740,512
54,538016,512
55,539292,512
56,540564,512
57,541840,512
58,543116,512
59,544392,512
60,545664,512
61,546940,512
62,548216,512
63,549492,512
64,550764,512
65,552040,512
66,553316,512
67,554592,512
68,555864,512
69,557140,512
70,558416,512
71,559692,512
72,560964,512
73,562240,512
74,563516,512
75,564792,512
76,566064,512
77,567340,512
78,568616,512
79,569892,512
80,571164,512
81,572440,512
82,573716,512
83,574992,512
84,576264,512
85,577548,512
86,578816,512
87,580092,512
88,581364,512
89,582640,512
90,583916,512
91,585192,512
92,586464,512
93,587740,512
94,589016,512
95,590292,512
96,591564,512
97,592840,512
98,594116,512
99,595392,512
100,596664,512
101,597940,512
102,599216,512
103,600492,512
104,601764,512
105,603040,512
106,604316,512
107,605592,512
108,606864,512
109,608140,512
110,609416,512
111,610692,512
112,611964,512
113,613240,512
114,614516,512
115,615792,512
116,617064,512
117,618340,512
118,619616,511
119,620892,512
120,622164,511
121,623440,512
122,624716,512
123,625992,511
124,627264,512
125,628540,512
126,629816,512
127,631092,512
128,632364,512
129,633640,512
130,634916,512
131,636192,512
132,637464,512
133,638740,512
134,640020,512
135,641292,512
136,642564,512
137,643840,512
138,645116,512
139,646392,512
140,647664,512
141,648940,512
142,650216,512
143,651492,512
144,652764,512
145,654040,512
146,655316,511
147,656592,512
148,657864,512
149,659140,511
150,660416,512
151,661692,512
152,662964,512
153,664240,512
154,665516,512
155,666792,512
156,668064,512
157,669340,512
158,670616,512
159,671892,512
160,673164,512
161,674440,512
162,675716,512
163,676992,512
164,678264,512
165,679540,512
166,680816,512
167,682092,512
168,683364,512
169,684640,512
170,685916,512
171,687192,512
172,688464,512
173,689740,512
174,691016,512
175,692292,512
176,693564,512
177,694840,512
178,696116,512
179,697392,512
180,698664,512
181,699940,512
182,701216,512
183,702492,512
184,703764,512
185,705040,512
186,706316,512
187,707596,512
188,708864,512
189,710140,512
190,711416,512
191,712692,511
192,713964,512
193,715240,512
194,716516,512
195,717792,512
196,719064,512
197,720340,512
198,721616,512
199,722892,512
200,724164,512
201,725440,512
202,726716,512
203,727992,512
204,729264,512
205,730540,512
206,731816,512
207,733092,512
208,734364,512
209,735640,512
210,736916,512
211,738192,512
212,739464,512
213,740740,512
214,742016,512
215,743292,512
216,744564,511
217,745840,512
218,747116,512
219,748392,512
220,749664,512
221,750940,512
222,752216,512
223,753492,512
224,754764,512
225,756040,512
226,757316,512
227,758592,512
228,759864,512
229,761140,512
230,762416,512
231,763692,512
232,764964,512
233,766240,512
234,767516,512
235,768792,512
236,770068,512
237,771340,512
238,772616,512
239,773892,512
240,775164,512
241,776440,512
242,777716,512
243,778992,512
244,780264,512
245,781540,512
246,782816,512
247,784092,512
248,785364,512
249,786640,512
250,787916,512
251,789192,512
252,790464,512
253,791740,512
254,793016,512
255,794292,512
256,795564,512
257,796840,512
258,798116,512
259,799392,512
260,800664,512
261,801940,512
262,803216,512
