# ADC noise capture
# date: 2026-08-10 18:45:39
# port: COM3, baud: 115200
# source: A0 trimmer potentiometer on the 511/512 code boundary
# requested samples: 1000, received: 1000, bad lines: 0
# duration_s: 1.059, effective_rate_sps: 943.0, mean_interval_us: 1060.5
# note: A0 trimmer at 511/512 boundary, run 1
sample_index,t_us,raw
0,467436,512
1,468456,511
2,469476,511
3,470496,512
4,471516,511
5,472536,511
6,473556,512
7,474576,512
8,475596,512
9,476616,511
10,477636,512
11,478656,511
12,479676,512
13,480696,512
14,481716,512
15,482736,512
16,483756,512
17,484776,512
18,485796,512
19,486816,512
20,487836,512
21,488856,512
22,489876,512
23,490896,512
24,491916,512
25,492936,512
26,493956,512
27,494976,512
28,495996,512
29,497016,512
30,498036,512
31,499056,511
32,500076,511
33,501096,512
34,502116,512
35,503136,511
36,504156,512
37,505176,512
38,506196,512
39,507216,512
40,508236,512
41,509256,512
42,510276,512
43,511296,512
44,512316,512
45,513336,511
46,514356,512
47,515376,512
48,516396,512
49,517416,512
50,518436,512
51,519456,512
52,520476,512
53,521496,512
54,522516,512
55,523536,512
56,524556,511
57,525576,512
58,526596,512
59,527616,512
60,528636,511
61,529656,512
62,530676,511
63,531696,512
64,532716,512
65,533736,512
66,534756,511
67,535776,512
68,536796,512
69,537816,512
70,538836,511
71,539856,512
72,540876,512
73,541896,512
74,542916,512
75,543936,511
76,544956,512
77,545976,512
78,546996,512
79,548016,512
80,549036,511
81,550056,512
82,551076,512
83,552096,511
84,553116,512
85,554136,512
86,555156,511
87,556176,512
88,557196,512
89,558216,511
90,559236,512
91,560256,512
92,561276,512
93,562296,512
94,563316,512
95,564336,512
96,565356,512
97,566376,512
98,567396,511
99,568416,512
100,569436,512
101,570456,512
102,571476,511
103,572496,512
104,573516,512
105,574536,512
106,575556,511
107,576576,512
108,577596,512
109,578616,512
110,579636,512
111,580656,512
112,581676,512
113,582696,512
114,583716,512
115,584736,512
116,585756,511
117,586776,511
118,587796,512
119,588820,512
120,589840,512
121,590860,512
122,591880,512
123,592900,512
124,593916,512
125,594936,512
126,595956,512
127,596976,511
128,597996,512
129,599016,512
130,600036,511
131,601056,512
132,602076,512
133,603096,511
134,604116,512
135,605136,512
136,606156,512
137,607176,512
138,608196,512
139,609216,512
140,610236,512
141,611256,512
142,612276,512
143,613296,512
144,614316,512
145,615336,512
146,616356,512
147,617376,512
148,618396,512
149,619416,512
150,620436,512
151,621456,512
152,622476,512
153,623496,512
154,624516,512
155,625536,512
156,626556,512
157,627576,512
158,628596,512
159,629616,512
160,630636,512
161,631656,512
162,632676,512
163,633696,512
164,634716,512
165,635736,512
166,636756,512
167,637776,511
168,638796,512
169,639816,512
170,640836,512
171,641856,511
172,642876,512
173,643896,512
174,644916,512
175,645936,512
176,646956,511
177,647976,511
178,648996,511
179,650016,512
180,651036,512
181,652056,512
182,653076,512
183,654096,512
184,655116,512
185,656136,511
186,657156,512
187,658176,512
188,659196,511
189,660216,512
190,661236,512
191,662256,511
192,663276,512
193,664296,512
194,665316,511
195,666336,512
196,667356,512
197,668376,512
198,669396,511
199,670416,511
200,671436,512
201,672456,512
202,673476,512
203,674496,512
204,675516,512
205,676536,512
206,677556,512
207,678576,512
208,679596,512
209,680616,512
210,681636,512
211,682656,512
212,683676,511
213,684696,512
214,685716,512
215,686736,512
216,687756,512
217,688776,512
218,689796,512
219,690816,512
220,691836,512
221,692856,511
222,693876,511
223,694896,512
224,695916,512
225,696936,512
226,697956,512
227,698976,512
228,699996,512
229,701016,512
230,702036,512
231,703056,512
232,704076,511
233,705096,512
234,706116,512
235,707136,511
236,708156,512
237,709176,512
238,710196,512
239,711216,511
240,712236,512
241,713256,512
242,714276,511
243,715296,512
244,716316,512
245,717336,512
246,718356,512
247,719376,511
248,720396,512
249,721416,512
250,722436,512
251,723456,512
252,724476,512
253,725496,512
254,726516,511
255,727536,512
256,728556,512
257,729576,511
258,730596,512
259,731616,511
260,732636,512
261,733656,512
262,734676,512
263,735696,512
264,736716,512
265,737736,512
266,738756,512
267,739776,512
268,740796,512
269,741816,511
270,742836,512
271,743856,512
272,744876,512
273,745896,511
274,746916,512
275,747936,512
276,748956,512
277,749976,512
278,750996,512
279,752016,511
280,753036,512
281,754056,512
282,755076,512
283,756096,512
284,757116,512
285,758136,512
286,759156,512
287,760176,512
288,761196,512
289,762216,511
290,763236,512
291,764256,512
292,765276,512
293,766296,511
294,767316,512
295,768336,512
296,769356,512
297,770376,512
298,771396,512
299,772416,512
300,773436,511
301,774456,512
302,775476,511
303,776496,511
304,777516,511
305,778536,511
306,779556,511
307,780576,512
308,781596,511
309,782616,512
310,783636,512
311,784656,512
312,785676,511
313,786696,512
314,787716,512
315,788736,512
316,789756,512
317,790776,512
318,791796,512
319,792816,512
320,793836,512
321,794856,512
322,795876,512
323,796896,511
324,797916,511
325,798936,512
326,799956,512
327,800976,512
328,801996,512
329,803016,512
330,804036,512
331,805056,512
332,806076,512
333,807096,511
334,808116,511
335,809136,512
336,810156,512
337,811176,511
338,812196,512
339,813216,512
340,814236,512
341,815256,512
342,816276,512
343,817296,512
344,818316,512
345,819336,511
346,820356,511
347,821376,511
348,822396,511
349,823416,512
350,824436,512
351,825456,512
352,826476,511
353,827496,512
354,828516,512
355,829536,512
356,830556,511
357,831576,511
